0.18 MB  7743d021e000-7743d024d000 r--p 00000000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.18 MB  7743dd3b1000-7743dd400000 r--p 001b1000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.17 MB  7743dd912000-7743dd93d000 r-xp 00001000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.16 MB  7743dd8b1000-7743dd8db000 r--p 00052000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.16 MB  7743dd200000-7743dd228000 r--p 00000000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.15 MB  7ffe2c0f6000-7ffe2c11d000 rw-p 00000000 00:00 0 [stack]
0.15 MB  7743dd574000-7743dd603000 r--p 000a9000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.14 MB  7743dd816000-7743dd83a000 r--p 0001f000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.13 MB  7743dd83d000-7743dd85f000 rw-p 00000000 00:00 0
0.12 MB  7743dd198000-7743dd1f1000 r--p 00000000 103:02 27001248 /usr/lib/locale/C.utf8/LC_CTYPE
0.12 MB  7743db9d6000-7743db9f5000 r-xp 00004000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.10 MB  7743dd4cb000-7743dd4e4000 r--p 00000000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.10 MB  7743d9e06000-7743d9e1f000 r--p 00000000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.09 MB  7743dd7ff000-7743dd816000 r-xp 00008000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.09 MB  7743db488000-7743db49e000 r--p 00000000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.07 MB  7743dd46d000-7743dd480000 r-xp 0000b000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.07 MB  7743d01f7000-7743d020a000 r--p 001f7000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.07 MB  7743db5eb000-7743db5fc000 r--p 00162000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.07 MB  7743d9fec000-7743d9ffd000 r--p 001e5000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.06 MB  7743dd6f8000-7743dd720000 r-xp 00005000 103:02 27001308 /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
0.06 MB  7743dd608000-7743dd618000 r--p 00000000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.06 MB  7743dd4b1000-7743dd4c3000 r-xp 00002000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.06 MB  7743dcc00000-7743dd177000 r--p 00000000 103:02 27001179 /usr/lib/locale/locale-archive
0.06 MB  7743db9a8000-7743db9cc000 r-xp 00004000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.06 MB  7743db988000-7743db99e000 r-xp 00003000 103:02 27012414 /usr/lib/x86_64-linux-gnu/libelf-0.190.so
0.06 MB  7743db953000-7743db972000 r-xp 00008000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.06 MB  7743db925000-7743db938000 r-xp 0000e000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.06 MB  7743db8e8000-7743db90a000 r-xp 00003000 103:02 27012024 /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
0.06 MB  7743d024d000-7743d03b3000 r-xp 0002f000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.06 MB  7743d0068000-7743d016d000 r-xp 00068000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.06 MB  7743dd7c9000-7743dd7ef000 r--p 0009e000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.06 MB  7743db8ce000-7743db8dd000 r-xp 00003000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.06 MB  7743db7e5000-7743db86c000 r--p 001e5000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.05 MB  7743dd49d000-7743dd4ab000 r-xp 00002000 103:02 27006181 /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
0.05 MB  7743db917000-7743db925000 r--p 00000000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.05 MB  7743dd72b000-7743dd738000 r--p 00000000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.05 MB  7743dcb9f000-7743dcbab000 r-xp 00005000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.05 MB  7743dcb8b000-7743dcb98000 r--p 000ab000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.05 MB  7743d9c6a000-7743d9c82000 rw-p 00e6a000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.05 MB  7743d8c9e000-7743d8ce6000 rw-p 0889d000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
0.04 MB  7743dd8e4000-7743dd8ef000 r-xp 00004000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.04 MB  7743dd462000-7743dd46d000 r--p 00000000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.04 MB  7743dd41f000-7743dd42b000 r-xp 00004000 103:02 27012323 /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
0.04 MB  7743dd188000-7743dd194000 r-xp 00003000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.04 MB  7743db86c000-7743db877000 r--p 0026b000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
