MemTotal:        7848088 kB
MemFree:          704056 kB
MemAvailable:    2080320 kB
Buffers:           75772 kB
Cached:          2699032 kB
SwapCached:       203900 kB
Active:          1863780 kB
Inactive:        3361144 kB
Active(anon):    1362708 kB
Inactive(anon):  2225340 kB
Active(file):     501072 kB
Inactive(file):  1135804 kB
Unevictable:      989316 kB
Mlocked:              96 kB
SwapTotal:       8388604 kB
SwapFree:        6826748 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3016 kB
Writeback:             0 kB
AnonPages:       3406832 kB
Mapped:           864552 kB
Shmem:           1401356 kB
KReclaimable:     238292 kB
Slab:             583732 kB
SReclaimable:     238292 kB
SUnreclaim:       345440 kB
KernelStack:       24496 kB
PageTables:        59628 kB
SecPageTables:     10160 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12312648 kB
Committed_AS:   15558084 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       78024 kB
VmallocChunk:          0 kB
Percpu:            13440 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   215040 kB
ShmemPmdMapped:        0 kB
FileHugePages:     12288 kB
FilePmdMapped:      8192 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      365440 kB
DirectMap2M:     7741440 kB
DirectMap1G:           0 kB
