MemTotal:        7848088 kB
MemFree:         1362928 kB
MemAvailable:    3210876 kB
Buffers:          127000 kB
Cached:          3062336 kB
SwapCached:       141312 kB
Active:          2144272 kB
Inactive:        2965660 kB
Active(anon):    1391064 kB
Inactive(anon):  1802720 kB
Active(file):     753208 kB
Inactive(file):  1162940 kB
Unevictable:      434708 kB
Mlocked:             344 kB
SwapTotal:       8388604 kB
SwapFree:        6790340 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              8948 kB
Writeback:             0 kB
AnonPages:       2332580 kB
Mapped:           981280 kB
Shmem:           1273168 kB
KReclaimable:     244408 kB
Slab:             591664 kB
SReclaimable:     244408 kB
SUnreclaim:       347256 kB
KernelStack:       21108 kB
PageTables:        49820 kB
SecPageTables:      9772 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12312648 kB
Committed_AS:   16960456 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       74636 kB
VmallocChunk:          0 kB
Percpu:            13440 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   237568 kB
ShmemPmdMapped:        0 kB
FileHugePages:     20480 kB
FilePmdMapped:      8192 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      365440 kB
DirectMap2M:     7741440 kB
DirectMap1G:           0 kB
