0.18 MB  7bc5267b1000-7bc526800000 r--p 001b1000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.17 MB  7bc526b28000-7bc526b53000 r-xp 00001000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.16 MB  7bc526ac7000-7bc526af1000 r--p 00052000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.16 MB  7bc526600000-7bc526628000 r--p 00000000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.15 MB  7ffebbcbd000-7ffebbce3000 rw-p 00000000 00:00 0 [stack]
0.14 MB  7bc526a2c000-7bc526a50000 r--p 0001f000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.14 MB  7bc52656c000-7bc5265fb000 r--p 000a9000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.13 MB  7bc526a53000-7bc526a75000 rw-p 00000000 00:00 0
0.12 MB  7bc5263b1000-7bc52640a000 r--p 00000000 103:02 27001248 /usr/lib/locale/C.utf8/LC_CTYPE
0.12 MB  7bc5268ad000-7bc526905000 r--p 0008f000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.12 MB  7bc525c84000-7bc525ca3000 r-xp 00004000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.10 MB  7bc5264c3000-7bc5264dc000 r--p 00000000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.10 MB  7bc523006000-7bc52301f000 r--p 00000000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.09 MB  7bc526a15000-7bc526a2c000 r-xp 00008000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.09 MB  7bc524688000-7bc52469e000 r--p 00000000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.07 MB  7bc526467000-7bc52647a000 r-xp 0000b000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.07 MB  7bc5193f7000-7bc51940a000 r--p 001f7000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.07 MB  7bc5247eb000-7bc5247fc000 r--p 00162000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.07 MB  7bc5231ec000-7bc5231fd000 r--p 001e5000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.06 MB  7bc52690e000-7bc526936000 r-xp 00005000 103:02 27001308 /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
0.06 MB  7bc52681e000-7bc52682e000 r--p 00000000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.06 MB  7bc5264a9000-7bc5264bb000 r-xp 00002000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.06 MB  7bc525e00000-7bc526377000 r--p 00000000 103:02 27001179 /usr/lib/locale/locale-archive
0.06 MB  7bc524bd6000-7bc524bfa000 r-xp 00004000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.06 MB  7bc524bb6000-7bc524bcc000 r-xp 00003000 103:02 27012414 /usr/lib/x86_64-linux-gnu/libelf-0.190.so
0.06 MB  7bc524b74000-7bc524b93000 r-xp 00008000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.06 MB  7bc524b46000-7bc524b59000 r-xp 0000e000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.06 MB  7bc524b09000-7bc524b2b000 r-xp 00003000 103:02 27012024 /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
0.06 MB  7bc522e97000-7bc522ea7000 rw-s 00000000 00:01 45300 /memfd:state table (deleted)
0.06 MB  7bc51944d000-7bc5195b3000 r-xp 0002f000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.06 MB  7bc519268000-7bc51936d000 r-xp 00068000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.06 MB  7bc5269df000-7bc526a05000 r--p 0009e000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.06 MB  7bc524aef000-7bc524afe000 r-xp 00003000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.06 MB  7bc5249e5000-7bc524a6c000 r--p 001e5000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.05 MB  7bc526495000-7bc5264a3000 r-xp 00002000 103:02 27006181 /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
0.05 MB  7bc524b38000-7bc524b46000 r--p 00000000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.05 MB  7bc526941000-7bc52694e000 r--p 00000000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.05 MB  7bc525db7000-7bc525dc3000 r-xp 00005000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.05 MB  7bc525da3000-7bc525db0000 r--p 000ab000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.05 MB  7bc522e6a000-7bc522e82000 rw-p 00e6a000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.05 MB  7bc521e9e000-7bc521ee6000 rw-p 0889d000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
0.04 MB  7bc526afa000-7bc526b05000 r-xp 00004000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.04 MB  7bc52645c000-7bc526467000 r--p 00000000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.04 MB  7bc52641f000-7bc52642b000 r-xp 00004000 103:02 27012323 /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
0.04 MB  7bc52637c000-7bc526388000 r-xp 00003000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.04 MB  7bc524a6c000-7bc524a77000 r--p 0026b000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.04 MB  7bc526b53000-7bc526b5d000 r--p 0002c000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.04 MB  7bc52647a000-7bc526483000 r--p 0001e000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.04 MB  7bc5195f5000-7bc5195fe000 r--p 001d6000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.03 MB  7bc526a0d000-7bc526a15000 r--p 00000000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.03 MB  7bc526486000-7bc52648e000 r-xp 00001000 103:02 27012321 /usr/lib/x86_64-linux-gnu/libbrotlidec.so.1.1.0
0.03 MB  7bc52640e000-7bc526417000 r-xp 00002000 103:02 27012643 /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
0.03 MB  7bc525ca3000-7bc525cab000 r--p 00023000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.03 MB  7bc524b6c000-7bc524b74000 r--p 00000000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.03 MB  7bc524640000-7bc524648000 rw-s 00000000 00:01 45300 /memfd:state table (deleted)
0.03 MB  7bc517342000-7bc51734a000 rw-p 00b42000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.03 MB  7bc526b11000-7bc526b18000 r--s 00000000 103:02 27029196 /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
0.03 MB  7bc526a05000-7bc526a0c000 r--p 000c4000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.03 MB  7bc525df5000-7bc525dfc000 r-xp 00002000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.03 MB  7bc525de9000-7bc525df0000 r-xp 00002000 103:02 27012192 /usr/lib/x86_64-linux-gnu/libXrender.so.1.3.0
0.03 MB  7bc525cc8000-7bc525ccf000 r--p 00000000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.03 MB  7bc525c76000-7bc525c7d000 r-xp 00002000 103:02 27012431 /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
0.02 MB  7bc526a75000-7bc526a7b000 r--p 00000000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.02 MB  7bc5264bb000-7bc5264c1000 r--p 00014000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.02 MB  7bc525ddd000-7bc525de3000 r-xp 00002000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.02 MB  7bc525cb3000-7bc525cb9000 r-xp 00005000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.02 MB  7bc524ba9000-7bc524baf000 r-xp 00003000 103:02 27003468 /usr/lib/x86_64-linux-gnu/libdrm_amdgpu.so.1.125.0
0.02 MB  7bc526909000-7bc52690e000 r--p 00000000 103:02 27001308 /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
0.02 MB  7bc526806000-7bc526813000 rw-p 00000000 00:00 0
0.02 MB  7bc525db2000-7bc525db7000 r--p 00000000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.02 MB  7bc525ccf000-7bc525cd4000 r-xp 00007000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.02 MB  7bc525cae000-7bc525cb3000 r--p 00000000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.02 MB  7bc515761000-7bc51578d000 rw-p 00000000 00:00 0
0.02 MB  7bc51575c000-7bc515761000 rw-p 00b5b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.02 MB  7bc526af6000-7bc526afa000 r--p 00000000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.02 MB  7bc526800000-7bc526804000 r--p 001ff000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.02 MB  7bc5265fc000-7bc526600000 rw-p 00139000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.02 MB  7bc52641b000-7bc52641f000 r--p 00000000 103:02 27012323 /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
0.02 MB  7bc525dc3000-7bc525dc7000 r--p 00011000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.02 MB  7bc525cf8000-7bc525cfc000 r--p 00000000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.02 MB  7bc525c80000-7bc525c84000 r--p 00000000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.02 MB  7bc525c70000-7bc525c74000 rw-s 00000000 00:01 45300 /memfd:state table (deleted)
0.02 MB  7bc524bfa000-7bc524bfe000 r--p 00028000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.02 MB  7bc524bd2000-7bc524bd6000 r--p 00000000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.02 MB  7bc524b67000-7bc524b6b000 r--p 0002e000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.02 MB  7bc524afe000-7bc524b02000 r--p 00012000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.02 MB  7bc52462f000-7bc524633000 rw-p 0142e000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.02 MB  7bc514400000-7bc514c00000 rw-p 00000000 00:00 0
0.02 MB  563bb7636000-563bb763a000 r--p 00000000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.01 MB  7bc526b0b000-7bc526b0e000 r-xp 00001000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.01 MB  7bc526b05000-7bc526b08000 r--p 0000f000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.01 MB  7bc526379000-7bc52637c000 r--p 00000000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.01 MB  7bc525dd5000-7bc525dd8000 r-xp 00002000 103:02 27012183 /usr/lib/x86_64-linux-gnu/libXfixes.so.3.1.0
0.01 MB  7bc525ce5000-7bc525ce8000 r-xp 00003000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  7bc525ce2000-7bc525ce5000 r--p 00000000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  7bc525cdc000-7bc525cdf000 r-xp 00003000 103:02 27012966 /usr/lib/x86_64-linux-gnu/libxcb-sync.so.1.0.0
0.01 MB  7bc525cd9000-7bc525cdc000 r--p 00000000 103:02 27012966 /usr/lib/x86_64-linux-gnu/libxcb-sync.so.1.0.0
0.01 MB  7bc525cd4000-7bc525cd7000 r--p 0000c000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.01 MB  7bc525c6a000-7bc525c6d000 rw-p 01069000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.01 MB  7bc524bb3000-7bc524bb6000 r--p 00000000 103:02 27012414 /usr/lib/x86_64-linux-gnu/libelf-0.190.so
0.01 MB  7bc524ba6000-7bc524ba9000 r--p 00000000 103:02 27003468 /usr/lib/x86_64-linux-gnu/libdrm_amdgpu.so.1.125.0
0.01 MB  7bc524b06000-7bc524b09000 r--p 00000000 103:02 27012024 /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
0.01 MB  7bc524aec000-7bc524aef000 r--p 00000000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.01 MB  7bc524a7a000-7bc524a7e000 rw-p 00000000 00:00 0
0.01 MB  7bc524a77000-7bc524a7a000 rw-p 00276000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.01 MB  7bc5247fc000-7bc5247ff000 rw-p 00173000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.01 MB  7bc524633000-7bc524639000 rw-p 00000000 00:00 0
0.01 MB  7bc5231fd000-7bc523200000 rw-p 001f6000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.01 MB  7bc516731000-7bc516734000 rw-p 00f30000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.01 MB  7bc50e1ff000-7bc50e9ff000 rw-p 00000000 00:00 0
0.01 MB  7bc526b5f000-7bc526b61000 rw-p 00038000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.01 MB  7bc526b5d000-7bc526b5f000 r--p 00036000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.01 MB  7bc526b25000-7bc526b27000 r-xp 00000000 00:00 0 [vdso]
0.01 MB  7bc526b1d000-7bc526b1f000 rw-p 00000000 00:00 0
0.01 MB  7bc526a50000-7bc526a52000 r--p 00042000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.01 MB  7bc526907000-7bc526909000 rw-p 00000000 00:00 0
0.01 MB  7bc52681c000-7bc52681e000 rw-p 00000000 00:00 0
0.01 MB  7bc526817000-7bc526819000 r-xp 00001000 103:02 27012176 /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
0.01 MB  7bc526814000-7bc526816000 rw-p 00000000 00:00 0
0.01 MB  7bc526804000-7bc526806000 rw-p 00203000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.01 MB  7bc5264a7000-7bc5264a9000 r--p 00000000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.01 MB  7bc526493000-7bc526495000 r--p 00000000 103:02 27006181 /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
0.01 MB  7bc526433000-7bc526435000 r-xp 00002000 103:02 27012181 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
0.01 MB  7bc526431000-7bc526433000 r--p 00000000 103:02 27012181 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
0.01 MB  7bc52640c000-7bc52640e000 r--p 00000000 103:02 27012643 /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
0.01 MB  7bc52640a000-7bc52640c000 rw-p 00000000 00:00 0
0.01 MB  7bc52638e000-7bc526390000 rw-s 00000000 00:01 45300 /memfd:state table (deleted)
0.01 MB  7bc526388000-7bc52638a000 r--p 0000f000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.01 MB  7bc525dfc000-7bc525dfe000 r--p 00009000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.01 MB  7bc525df3000-7bc525df5000 r--p 00000000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.01 MB  7bc525de7000-7bc525de9000 r--p 00000000 103:02 27012192 /usr/lib/x86_64-linux-gnu/libXrender.so.1.3.0
0.01 MB  7bc525de3000-7bc525de5000 r--p 00008000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.01 MB  7bc525ddb000-7bc525ddd000 r--p 00000000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.01 MB  7bc525dd3000-7bc525dd5000 r--p 00000000 103:02 27012183 /usr/lib/x86_64-linux-gnu/libXfixes.so.3.1.0
