MemTotal:        7848088 kB
MemFree:          765244 kB
MemAvailable:    2273272 kB
Buffers:           88544 kB
Cached:          2882480 kB
SwapCached:       211720 kB
Active:          1440972 kB
Inactive:        3730236 kB
Active(anon):     916012 kB
Inactive(anon):  2487976 kB
Active(file):     524960 kB
Inactive(file):  1242260 kB
Unevictable:      961880 kB
Mlocked:              96 kB
SwapTotal:       8388604 kB
SwapFree:        6911744 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4120 kB
Writeback:             0 kB
AnonPages:       3130264 kB
Mapped:          1018444 kB
Shmem:           1378736 kB
KReclaimable:     241136 kB
Slab:             585788 kB
SReclaimable:     241136 kB
SUnreclaim:       344652 kB
KernelStack:       23476 kB
PageTables:        55324 kB
SecPageTables:     10124 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12312648 kB
Committed_AS:   14918904 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       77080 kB
VmallocChunk:          0 kB
Percpu:            13440 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   217088 kB
ShmemPmdMapped:        0 kB
FileHugePages:     12288 kB
FilePmdMapped:      8192 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      365440 kB
DirectMap2M:     7741440 kB
DirectMap1G:           0 kB
